Source,CH1
Second,Volt
-7.000000E-07,+1.783600E+01
-6.990000E-07,+1.856400E+01
-6.980000E-07,+1.892800E+01
-6.970000E-07,+1.929200E+01
-6.960000E-07,+2.002000E+01
-6.950000E-07,+2.038400E+01
-6.940000E-07,+2.111200E+01
-6.930000E-07,+2.147600E+01
-6.920000E-07,+2.220400E+01
-6.910000E-07,+2.256800E+01
-6.900000E-07,+2.329600E+01
-6.890000E-07,+2.366000E+01
-6.880000E-07,+2.402400E+01
-6.870000E-07,+2.438800E+01
-6.860000E-07,+2.511600E+01
-6.850000E-07,+2.548000E+01
-6.840000E-07,+2.584400E+01
-6.830000E-07,+2.620800E+01
-6.820000E-07,+2.657200E+01
-6.810000E-07,+2.657200E+01
-6.800000E-07,+2.693600E+01
-6.790000E-07,+2.730000E+01
-6.780000E-07,+2.766400E+01
-6.770000E-07,+2.766400E+01
-6.760000E-07,+2.802800E+01
-6.750000E-07,+2.802800E+01
-6.740000E-07,+2.802800E+01
-6.730000E-07,+2.802800E+01
-6.720000E-07,+2.839200E+01
-6.710000E-07,+2.802800E+01
-6.700000E-07,+2.802800E+01
-6.690000E-07,+2.802800E+01
-6.680000E-07,+2.802800E+01
-6.670000E-07,+2.802800E+01
-6.660000E-07,+2.730000E+01
-6.650000E-07,+2.693600E+01
-6.640000E-07,+2.657200E+01
-6.630000E-07,+2.584400E+01
-6.620000E-07,+2.584400E+01
-6.610000E-07,+2.475200E+01
-6.600000E-07,+2.402400E+01
-6.590000E-07,+2.329600E+01
-6.580000E-07,+2.220400E+01
-6.570000E-07,+2.038400E+01
-6.560000E-07,+1.929200E+01
-6.550000E-07,+1.820000E+01
-6.540000E-07,+1.638000E+01
-6.530000E-07,+1.492400E+01
-6.520000E-07,+1.346800E+01
-6.510000E-07,+1.201200E+01
-6.500000E-07,+1.019200E+01
-6.490000E-07,+8.372001E+00
-6.480000E-07,+6.916000E+00
-6.470000E-07,+5.096001E+00
-6.460000E-07,+3.276000E+00
-6.450000E-07,+1.456000E+00
-6.440000E-07,-3.640000E-01
-6.430000E-07,-1.820000E+00
-6.420000E-07,-3.640000E+00
-6.410000E-07,-5.096001E+00
-6.400000E-07,-6.552000E+00
-6.390000E-07,-7.644000E+00
