Source,CH1
Second,Volt
-1.402000E-06,+1.235200E+01
-1.401000E-06,+1.250640E+01
-1.400000E-06,+1.281520E+01
-1.399000E-06,+1.296960E+01
-1.398000E-06,+1.312400E+01
-1.397000E-06,+1.312400E+01
-1.396000E-06,+1.312400E+01
-1.395000E-06,+1.327840E+01
-1.394000E-06,+1.343280E+01
-1.393000E-06,+1.343280E+01
-1.392000E-06,+1.343280E+01
-1.391000E-06,+1.358720E+01
-1.390000E-06,+1.358720E+01
-1.389000E-06,+1.343280E+01
-1.388000E-06,+1.343280E+01
-1.387000E-06,+1.327840E+01
-1.386000E-06,+1.327840E+01
-1.385000E-06,+1.312400E+01
-1.384000E-06,+1.296960E+01
-1.383000E-06,+1.266080E+01
-1.382000E-06,+1.250640E+01
-1.381000E-06,+1.219760E+01
-1.380000E-06,+1.204320E+01
-1.379000E-06,+1.173440E+01
-1.378000E-06,+1.142560E+01
-1.377000E-06,+1.096240E+01
-1.376000E-06,+1.065360E+01
-1.375000E-06,+1.034480E+01
-1.374000E-06,+9.881600E+00
-1.373000E-06,+9.264000E+00
-1.372000E-06,+8.800800E+00
-1.371000E-06,+8.183201E+00
-1.370000E-06,+7.565600E+00
-1.369000E-06,+7.102400E+00
-1.368000E-06,+6.330400E+00
-1.367000E-06,+5.867200E+00
-1.366000E-06,+5.095200E+00
-1.365000E-06,+4.477600E+00
-1.364000E-06,+3.860000E+00
-1.363000E-06,+3.088000E+00
-1.362000E-06,+2.470400E+00
-1.361000E-06,+1.852800E+00
-1.360000E-06,+1.080800E+00
-1.359000E-06,+4.632000E-01
-1.358000E-06,-3.088000E-01
-1.357000E-06,-9.263999E-01
-1.356000E-06,-1.544000E+00
-1.355000E-06,-2.161600E+00
-1.354000E-06,-2.779200E+00
-1.353000E-06,-3.551200E+00
-1.352000E-06,-4.168800E+00
-1.351000E-06,-4.632000E+00
-1.350000E-06,-5.095200E+00
-1.349000E-06,-5.558400E+00
-1.348000E-06,-6.176000E+00
-1.347000E-06,-6.793600E+00
-1.346000E-06,-7.256800E+00
-1.345000E-06,-7.720000E+00
-1.344000E-06,-8.183201E+00
-1.343000E-06,-8.337601E+00
-1.342000E-06,-8.955200E+00
-1.341000E-06,-9.264000E+00
-1.340000E-06,-9.572801E+00
-1.339000E-06,-9.881600E+00
-1.338000E-06,-1.019040E+01
-1.337000E-06,-1.034480E+01
-1.336000E-06,-1.096240E+01
-1.335000E-06,-1.111680E+01
-1.334000E-06,-1.127120E+01
-1.333000E-06,-1.173440E+01
-1.332000E-06,-1.188880E+01
-1.331000E-06,-1.219760E+01
-1.330000E-06,-1.235200E+01
-1.329000E-06,-1.250640E+01
-1.328000E-06,-1.266080E+01
-1.327000E-06,-1.281520E+01
-1.326000E-06,-1.312400E+01
-1.325000E-06,-1.312400E+01
-1.324000E-06,-1.312400E+01
-1.323000E-06,-1.343280E+01
-1.322000E-06,-1.327840E+01
-1.321000E-06,-1.327840E+01
-1.320000E-06,-1.343280E+01
-1.319000E-06,-1.358720E+01
-1.318000E-06,-1.358720E+01
-1.317000E-06,-1.343280E+01
-1.316000E-06,-1.358720E+01
-1.315000E-06,-1.327840E+01
-1.314000E-06,-1.327840E+01
-1.313000E-06,-1.312400E+01
-1.312000E-06,-1.296960E+01
-1.311000E-06,-1.266080E+01
-1.310000E-06,-1.266080E+01
-1.309000E-06,-1.250640E+01
-1.308000E-06,-1.204320E+01
-1.307000E-06,-1.173440E+01
-1.306000E-06,-1.142560E+01
-1.305000E-06,-1.127120E+01
-1.304000E-06,-1.096240E+01
-1.303000E-06,-1.049920E+01
-1.302000E-06,-1.003600E+01
-1.301000E-06,-9.572801E+00
-1.300000E-06,-8.955200E+00
-1.299000E-06,-8.337601E+00
-1.298000E-06,-7.874400E+00
-1.297000E-06,-7.256800E+00
-1.296000E-06,-6.639200E+00
-1.295000E-06,-5.712800E+00
-1.294000E-06,-5.249600E+00
-1.293000E-06,-4.632000E+00
-1.292000E-06,-3.860000E+00
-1.291000E-06,-3.088000E+00
-1.290000E-06,-2.316000E+00
-1.289000E-06,-1.544000E+00
-1.288000E-06,-9.263999E-01
-1.287000E-06,-1.544000E-01
-1.286000E-06,+4.632000E-01
-1.285000E-06,+1.235200E+00
-1.284000E-06,+1.852800E+00
-1.283000E-06,+2.470400E+00
-1.282000E-06,+3.242400E+00
-1.281000E-06,+3.860000E+00
-1.280000E-06,+4.477600E+00
-1.279000E-06,+5.095200E+00
-1.278000E-06,+5.712800E+00
-1.277000E-06,+6.176000E+00
-1.276000E-06,+6.639200E+00
-1.275000E-06,+7.256800E+00
-1.274000E-06,+7.720000E+00
-1.273000E-06,+8.183201E+00
-1.272000E-06,+8.646400E+00
-1.271000E-06,+8.955200E+00
-1.270000E-06,+9.418400E+00
-1.269000E-06,+9.727201E+00
-1.268000E-06,+1.003600E+01
-1.267000E-06,+1.034480E+01
-1.266000E-06,+1.080800E+01
-1.265000E-06,+1.096240E+01
-1.264000E-06,+1.111680E+01
-1.263000E-06,+1.158000E+01
-1.262000E-06,+1.173440E+01
-1.261000E-06,+1.204320E+01
-1.260000E-06,+1.219760E+01
-1.259000E-06,+1.235200E+01
-1.258000E-06,+1.266080E+01
-1.257000E-06,+1.281520E+01
-1.256000E-06,+1.296960E+01
-1.255000E-06,+1.312400E+01
-1.254000E-06,+1.296960E+01
-1.253000E-06,+1.327840E+01
-1.252000E-06,+1.327840E+01
